id,par1,par2
1,370,367
2,156,8
3,0,0
4,166,37
5,98,371
6,0,0
7,303,8
8,0,0
9,8,141
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,8,149
21,167,243
22,390,150
23,26,76
24,26,186
25,337,24
26,0,0
27,0,0
28,120,107
29,250,117
30,0,0
31,304,118
32,320,0
33,50,32
34,390,50
35,99,204
36,296,247
37,0,0
38,350,8
39,58,38
40,355,359
41,114,116
42,73,50
43,219,50
44,35,50
45,0,0
46,330,50
47,50,392
48,0,0
49,390,50
50,0,0
51,54,199
52,343,137
53,236,50
54,156,50
55,0,0
56,0,0
57,236,325
58,236,384
59,58,118
60,0,0
61,236,60
62,0,0
63,11,211
64,0,0
65,236,269
66,127,265
67,183,68
68,151,212
69,112,201
70,105,245
71,183,236
72,139,140
73,0,0
74,73,280
75,0,0
76,0,0
77,8,76
78,76,292
79,312,76
80,76,70
81,40,167
82,127,101
83,234,68
84,271,250
85,84,271
86,381,85
87,0,0
88,87,0
89,121,323
90,58,292
91,270,187
92,236,93
93,12,303
94,282,226
95,73,321
96,75,292
97,312,295
98,312,219
99,219,200
100,77,76
101,0,0
102,147,103
103,0,0
104,131,132
105,0,0
106,0,0
107,236,292
108,8,276
109,8,276
110,336,136
111,0,0
112,150,111
113,112,219
114,45,111
115,224,111
116,244,111
117,0,0
118,0,0
119,222,118
120,236,101
121,120,372
122,259,85
123,0,0
124,127,236
125,143,162
126,76,319
127,0,0
128,0,0
129,131,123
130,274,79
131,0,0
132,131,373
133,390,331
134,303,368
135,134,356
136,127,135
137,345,8
138,0,0
139,226,138
140,178,139
141,0,0
142,0,0
143,289,142
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,150,144
150,0,0
151,0,0
152,312,236
153,236,38
154,0,0
155,0,0
156,0,0
157,0,0
158,236,180
159,0,0
160,159,309
161,0,0
162,0,0
163,303,165
164,332,165
165,150,228
166,0,0
167,321,168
168,0,0
169,292,97
170,153,167
171,321,243
172,8,344
173,346,55
174,236,355
175,39,323
176,0,0
177,297,0
178,0,0
179,389,217
180,0,0
181,0,0
182,236,50
183,235,8
184,209,303
185,236,292
186,156,226
187,0,0
188,358,283
189,193,23
190,198,63
191,0,0
192,194,27
193,19,191
194,0,0
195,349,145
196,195,157
197,112,76
198,76,253
199,0,0
200,200,294
201,0,0
202,173,6
203,156,202
204,199,93
205,0,0
206,226,205
207,156,13
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,236,111
214,338,76
215,390,150
216,222,27
217,295,382
218,111,138
219,312,9
220,0,0
221,146,220
222,223,30
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,227,298
229,364,226
230,303,226
231,0,0
232,390,231
233,177,123
234,0,0
235,0,0
236,196,76
237,303,236
238,101,301
239,0,0
240,0,0
241,64,50
242,240,236
243,303,374
244,0,0
245,355,348
246,206,76
247,246,219
248,312,316
249,271,299
250,271,249
251,0,0
252,0,0
253,347,252
254,0,0
255,390,355
256,127,82
257,0,0
258,0,0
259,258,85
260,258,73
261,355,141
262,258,207
263,176,0
264,328,251
265,236,101
266,207,8
267,236,207
268,37,321
269,0,0
270,0,0
271,0,0
272,8,275
273,312,275
274,278,375
275,156,272
276,234,352
277,355,210
278,0,0
279,40,280
280,278,321
281,0,0
282,281,148
283,0,0
284,0,0
285,284,128
286,183,67
287,361,219
288,378,155
289,225,388
290,10,303
291,14,365
292,0,0
293,312,291
294,0,0
295,0,0
296,312,295
297,0,0
298,0,0
299,298,165
300,27,199
301,156,300
302,150,230
303,0,0
304,303,150
305,303,0
306,303,377
307,209,50
308,236,307
309,232,85
310,366,160
311,248,24
312,246,94
313,312,219
314,312,236
315,312,208
316,312,292
317,312,313
318,312,393
319,0,0
320,0,0
321,289,85
322,76,357
323,189,336
324,150,326
325,219,324
326,0,0
327,61,324
328,33,149
329,194,330
330,0,0
331,303,15
332,331,150
333,376,131
334,229,333
335,333,50
336,337,24
337,236,292
338,0,0
339,115,111
340,0,0
341,284,340
342,306,62
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,221,16
351,289,321
352,0,0
353,0,0
354,236,101
355,0,0
356,355,20
357,76,100
358,0,0
359,0,0
360,303,73
361,0,0
362,0,0
363,338,360
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,181,254
380,0,0
381,29,321
382,17,305
383,362,76
384,383,239
385,0,0
386,48,353
387,278,353
388,390,18
389,390,3
390,161,56
391,369,0
392,0,0
393,154,380
394,165,111
395,134,321
396,156,272
397,257,118
398,46,386
